,Home Team,Away Team,Match Date,Home Team ball_possession,Away Team ball_possession,Home Team passes_accuracy,Away Team passes_accuracy,Home Team passes_attempted,Away Team passes_attempted,Home Team passes_completed,Away Team passes_completed,Home Team distance_covered,Away Team distance_covered,Home Team goals,Away Team goals,Home Team attempts,Away Team attempts,Home Team attempts_on_target,Away Team attempts_on_target,Home Team attempts_off_target,Away Team attempts_off_target,Home Team attempts_blocked,Away Team attempts_blocked,Home Team attempts_on_woodwork,Away Team attempts_on_woodwork,Home Team corners,Away Team corners,Home Team offsides,Away Team offsides,Home Team recovered_ball,Away Team recovered_ball,Home Team tackles,Away Team tackles,Home Team blocked,Away Team blocked,Home Team clearance_completed,Away Team clearance_completed,Home Team yellow_cards,Away Team yellow_cards,Home Team red_cards,Away Team red_cards,Home Team fouls_committed,Away Team fouls_committed
28,Bayern,Villarreal ,2022-04-12,65,35,88,72,591,286,518,205,117.08,114.74,1,1,24,4,4,1,13,3,7,0,0,0,6,0,5,1,35,33,8,12,0,7,4,33,1,2,0,0,11,8
29,Villarreal,Bayern ,2022-04-06,40,60,81,87,350,575,283,502,120.85,122.07,1,0,11,21,1,4,5,8,5,9,1,0,3,6,1,3,45,41,11,10,9,5,22,8,1,0,0,0,10,9
30,Chelsea,Real Madrid ,2022-04-06,55,45,92,86,609,476,559,411,112.74,110.46,1,3,20,8,5,5,10,3,5,0,0,1,5,2,0,1,34,34,15,12,0,5,3,9,1,1,0,0,14,6
31,Benfica,Liverpool ,2022-04-05,36,64,78,89,386,730,302,649,121.43,119.29,1,3,9,18,3,8,5,5,1,5,0,0,2,6,4,1,54,58,22,12,5,1,18,14,1,1,0,0,7,15
32,Man City,Atlético ,2022-04-05,68,32,90,74,702,302,634,223,111.7,110.1,1,0,15,0,2,0,7,0,6,0,0,0,9,0,1,2,37,37,6,16,0,6,5,13,2,3,0,0,8,13
33,LOSC,Chelsea ,2022-03-16,47,53,82,87,405,515,333,446,108.03,109.64,1,2,8,8,1,4,5,2,2,2,1,0,4,1,6,1,37,36,18,12,2,2,8,4,2,1,0,0,15,20
34,Juventus,Villarreal ,2022-03-16,53,47,92,87,603,441,557,384,111.88,115.18,0,3,15,8,5,3,5,3,5,2,1,0,7,2,2,0,41,36,11,11,2,5,8,16,1,0,0,0,6,5
35,Ajax,Benfica ,2022-03-15,66,34,86,72,600,274,518,196,112.71,116.46,0,1,16,4,2,1,12,3,2,0,0,0,10,4,4,2,34,35,19,13,0,2,5,33,3,1,0,0,13,11
36,Man United,Atlético ,2022-03-15,59,41,86,78,570,394,488,307,111.09,113.91,0,1,12,9,5,3,6,5,1,1,0,0,5,2,1,2,46,57,6,24,1,1,3,12,2,2,0,0,14,12
37,Man City,Sporting CP ,2022-03-09,66,34,92,82,707,324,649,266,114.42,114.13,0,0,14,6,4,2,4,3,6,1,0,0,7,2,3,0,33,28,9,16,1,6,5,14,1,2,0,0,9,12
38,Real Madrid,Paris ,2022-03-09,47,53,88,91,467,602,410,548,106.32,102.69,3,1,21,12,7,5,9,3,5,4,0,0,5,2,2,2,36,32,18,13,4,5,6,10,4,4,0,0,12,9
39,Bayern,Salzburg ,2022-03-08,70,30,89,72,749,284,670,204,115.07,112.44,7,1,18,7,9,4,4,2,5,1,0,0,6,2,0,2,60,41,8,10,1,5,7,17,0,0,0,0,8,14
